1001|iphone11|0.5|0.5|0.01|0.02|0.5
1002|婴儿床|0.5|0.2|0.2|0.3|0.1
1003|迪奥香水|0.5|0.5|0.01|0.02|0.5
1004|奶粉|0.5|0.2|0.2|0.3|0.1
1005|Hadoop权威指南|0.2|0.5|0.01|0.01|0.5
1006|婴儿车|0.5|0.2|0.2|0.3|0.1
1007|iphone11ProMax|0.5|0.5|0.01|0.02|0.5
1008|布莱奥你西服|0.2|0.5|0.2|0.3|0.5
1009|电饭锅|0.3|0.4|0.02|0.04|0.06
1010|小米note|0.3|0.6|0.02|0.04|0.4
1011|推拉门衣柜|0.5|0.5|0.2|0.4|0.3
1012|韩束|0.5|0.3|0.01|0.02|0.3
1013|三只松鼠|0.5|0.5|0.01|0.02|0.5
1014|为数据而生|0.2|0.5|0.01|0.01|0.4
1015|茶几|0.2|0.5|0.3|0.4|0.1
1016|8848钛金手机|0.5|0.2|0.2|0.3|0.1
1017|滋色散粉|0.5|0.2|0.01|0.02|0.5
1018|螺蛳粉|0.2|0.5|0.2|0.3|0.5
1019|智能时代|0.3|0.4|0.02|0.04|0.06
1020|花花公子衬衫|0.3|0.6|0.02|0.04|0.4
1021|迪奥气垫|0.5|0.5|0.01|0.02|0.5
1022|加拿大鹅|0.5|0.2|0.25|0.33|0.5
1023|电磁炉|0.5|0.5|0.5|0.4|0.3
1024|热水器|0.5|0.2|0.02|0.03|0.5
1025|iPhone8|0.2|0.5|0.01|0.01|0.5
1026|折叠床|0.5|0.2|0.2|0.3|0.1
1027|珂润水乳|0.5|0.5|0.01|0.02|0.5
1028|担担面|0.2|0.5|0.2|0.3|0.5
1029|R语言预测实战|0.3|0.4|0.02|0.04|0.06
1030|书厨|0.3|0.6|0.02|0.04|0.4
1031|华为nove3|0.5|0.5|0.01|0.02|0.5
1032|香奈儿|0.5|0.2|0.2|0.3|0.1
1033|迪卡依|0.5|0.5|0.01|0.02|0.5
1034|全自动洗衣机|0.5|0.2|0.2|0.3|0.1
1035|锤子手机|0.2|0.5|0.01|0.01|0.5
1036|折叠椅|0.5|0.2|0.2|0.3|0.1
1037|自然堂护肤|0.5|0.5|0.01|0.02|0.5
1038|燕窝|0.2|0.5|0.2|0.3|0.5
1039|Presto技术内幕|0.3|0.4|0.02|0.04|0.06
1040|茶桌|0.3|0.6|0.02|0.04|0.4
1041|红米|0.5|0.5|0.01|0.02|0.5
1042|欧莱雅抗衰老水乳|0.5|0.2|0.2|0.3|0.1
1043|思莱德斯格子衫|0.5|0.5|0.01|0.02|0.5
1044|早餐机|0.5|0.2|0.2|0.3|0.1
1045|vivo|0.2|0.5|0.01|0.01|0.5
1046|榻榻米|0.5|0.2|0.2|0.3|0.1
1047|半亩花田水乳|0.5|0.5|0.01|0.02|0.5
1048|大盘鸡面|0.2|0.5|0.2|0.3|0.5
1049|决战大数据|0.3|0.4|0.02|0.04|0.06
1050|办公桌|0.3|0.6|0.02|0.04|0.4
1051|华为P30|0.5|0.5|0.01|0.02|0.5
1052|MAC限定口红|0.5|0.2|0.2|0.3|0.5
1053|hm男夹克|0.3|0.5|0.01|0.02|0.5
1054|烤箱|0.5|0.2|0.2|0.3|0.1
1055|三星S20|0.2|0.5|0.01|0.01|0.5
1056|沙发|0.5|0.2|0.2|0.3|0.1
1057|3CE唇釉|0.5|0.5|0.01|0.02|0.5
1058|QQ糖|0.2|0.5|0.2|0.3|0.5
1059|数据巅峰|0.3|0.4|0.02|0.04|0.06
1060|餐桌|0.3|0.6|0.02|0.04|0.4
1061|华为Mate20|0.5|0.5|0.01|0.02|0.5
1062|兰蔻小黑瓶|0.5|0.2|0.2|0.3|0.1
1063|Nike运动裤|0.5|0.5|0.01|0.02|0.5
1064|联想电脑|0.5|0.2|0.2|0.3|0.1
1065|iPhoneX|0.2|0.5|0.01|0.01|0.5
1066|鞋橱|0.5|0.2|0.2|0.3|0.1
1067|玛丽黛佳散粉|0.5|0.5|0.01|0.02|0.5
1068|火腿肠|0.2|0.5|0.2|0.3|0.5
1069|Python数据分析与数据化运营|0.3|0.4|0.02|0.04|0.06
1070|老年椅|0.3|0.6|0.02|0.04|0.4
1071|iPhoneXR|0.5|0.5|0.01|0.02|0.5
1072|欧束气垫|0.5|0.2|0.2|0.3|0.1
1073|李宁日进斗金|0.5|0.5|0.01|0.02|0.5
1074|洗衣机|0.5|0.2|0.2|0.3|0.1
1075|OPPOx21|0.2|0.5|0.01|0.01|0.5
1076|双人床|0.5|0.2|0.2|0.3|0.1
1077|TF80|0.5|0.5|0.01|0.02|0.5
1078|三羊火鸡面|0.2|0.5|0.2|0.3|0.5
1079|海澜之家牛仔裤|0.3|0.4|0.02|0.04|0.06
1080|iPhoneXSMAX|0.3|0.6|0.02|0.04|0.4
1081|摇篮床|0.5|0.5|0.01|0.02|0.5
1082|磨牙棒|0.5|0.2|0.2|0.3|0.1
1083|Hbase架构设计|0.5|0.5|0.01|0.02|0.5
1084|iPhone11|0.5|0.2|0.2|0.3|0.1
1085|迪奥999|0.2|0.5|0.01|0.01|0.5
1086|冰箱|0.5|0.2|0.2|0.3|0.1
